1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,3295,7582
11,3470,7718
12,3377,7775
13,3377,7945
14,3496,7826
15,3509,7976
16,3599,7783
17,3668,7767
18,3655,7880
19,3654,7968
20,3019,7403
21,3039,7483
22,3061,7612
23,2997,7759
24,2983,7861
25,2985,7936
26,3163,7520
27,3217,7627
28,3206,776
29,3184,7891
30,2724,7561
31,2831,7427
32,2796,7562
33,2910,7375
34,2896,7493
35,2862,7570
36,2967,7420
37,2968,7586
38,2924,7736
39,2921,7886
40,2514,7547
41,2496,7651
42,2592,7539
43,2590,7623
44,2711,7353
45,2633,7420
46,2664,7499
47,2663,7549
48,2740,7403
49,2734,7498
50,3657,7278
51,3667,7365
52,3685,7481
53,3769,7151
54,3868,7196
55,3931,7291
56,3810,7512
57,0,0
58,0,0
59,0,0
60,3408,7204
61,3394,7333
62,3414,7449
63,3510,7196
64,3506,7287
65,3493,7374
66,3524,7449
67,3581,7242
68,3576,7321
69,3567,7384
70,2655,7255
71,2792,7242
72,2917,7191
73,3029,7238
74,3143,7226
75,3204,7223
76,3199,7336
77,3305,7205
78,3300,7284
79,3293,7361
80,2332,7136
81,2333,7277
82,2354,7402
83,2296,7512
84,2422,7190
85,2429,7306
86,2504,7234
87,2548,7285
88,2597,7049
89,2580,7227
90,2040,7105
91,2066,7154
92,2126,7219
93,1935,7541
94,2131,7085
95,2176,7145
96,2246,7198
97,2224,7344
98,2163,7513
99,2168,7710
100,0,0
101,2696,6619
102,2690,6662
103,2710,6717
104,2737,6742
105,2667,6764
106,2697,6791
107,2667,6829
108,2677,6872
109,2696,6913
110,2749,6965
111,2792,7001
112,2830,7031
113,2868,7066
114,2900,7098
115,2748,6690
116,2763,6717
117,2788,6781
118,2742,6845
119,2807,6873
120,2788,6940
121,2865,6936
122,2848,6989
123,2908,7036
124,2932,7065
125,2815,6627
126,2821,6703
127,2819,6758
128,2875,6814
129,2925,6887
130,2993,6949
131,2954,6995
132,2975,7105
133,2924,6621
134,2875,6705
135,2927,6770
136,2956,6863
137,3019,6920
138,3018,7061
139,3055,7137
140,3001,6663
141,2969,6747
142,3030,6822
143,3071,6861
144,3074,6979
145,3088,7004
146,3076,7097
147,3100,7162
148,3078,6592
149,3060,6697
150,3102,6770
151,3131,6805
152,3139,6918
153,3135,7026
154,3170,7073
155,3128,6630
156,3160,6675
157,3150,6750
158,3204,6837
159,3195,6932
160,3190,6986
161,3221,7039
162,3339,6614
163,3338,6681
164,3362,6872
165,3342,6974
166,3325,7079
167,3401,6642
168,3449,6788
169,3475,6843
170,3478,6899
171,3436,6991
172,3426,7094
173,3523,6985
174,3547,7094
175,3471,6597
176,3491,6745
177,3624,6639
178,3618,6752
179,3610,6811
180,3648,6845
181,3658,6932
182,3726,7019
183,3686,6818
184,3716,6887
185,3742,6924
186,3745,6760
187,3752,6802
188,3797,6750
189,3827,6871
